,predictions,file_names
0,03-01-03-01-02-02-01.wav,03-01-06-01-02-02-01.wav
1,03-01-03-01-02-02-21.wav,03-01-03-01-02-01-21.wav
2,03-01-07-01-01-02-04.wav,03-01-07-01-02-02-04.wav
3,03-01-07-01-01-01-06.wav,03-01-02-02-01-02-24.wav
4,03-01-06-01-01-01-19.wav,03-01-07-01-02-02-19.wav
5,03-01-07-01-01-01-15.wav,03-01-06-01-01-01-07.wav
6,03-01-07-02-01-02-16.wav,03-01-07-01-01-01-16.wav
7,03-01-02-02-02-01-06.wav,03-01-02-01-02-02-06.wav
8,03-01-06-01-02-01-07.wav,03-01-06-01-01-02-07.wav
9,03-01-06-01-01-01-17.wav,03-01-06-02-01-01-15.wav
10,03-01-02-02-01-01-07.wav,03-01-02-02-02-02-07.wav
11,03-01-06-01-01-01-03.wav,03-01-06-01-02-02-19.wav
12,03-01-03-02-02-01-03.wav,03-01-06-02-02-02-05.wav
13,03-01-06-01-02-01-14.wav,03-01-06-01-01-01-14.wav
14,03-01-06-01-01-01-09.wav,03-01-06-01-02-01-15.wav
15,03-01-03-02-01-01-06.wav,03-01-03-02-02-01-06.wav
16,03-01-02-02-01-01-16.wav,03-01-02-01-01-02-16.wav
17,03-01-07-01-01-02-13.wav,03-01-07-01-01-01-13.wav
18,03-01-06-01-02-02-02.wav,03-01-03-02-02-02-24.wav
19,03-01-02-02-02-01-19.wav,03-01-02-01-02-02-19.wav
20,03-01-02-02-01-01-09.wav,03-01-02-02-01-02-09.wav
21,03-01-02-01-02-02-07.wav,03-01-02-01-01-02-07.wav
22,03-01-03-01-02-02-13.wav,03-01-03-01-02-01-13.wav
23,03-01-02-02-02-02-18.wav,03-01-02-01-02-01-18.wav
24,03-01-02-02-02-01-03.wav,03-01-02-02-02-02-03.wav
25,03-01-02-01-02-02-11.wav,03-01-02-02-01-01-11.wav
26,03-01-06-01-02-02-02.wav,03-01-03-01-02-02-20.wav
27,03-01-06-02-02-01-06.wav,03-01-03-02-01-02-06.wav
28,03-01-07-02-01-01-11.wav,03-01-06-01-01-02-11.wav
29,03-01-03-01-01-01-18.wav,03-01-03-01-02-01-18.wav
30,03-01-06-02-02-01-15.wav,03-01-06-01-01-01-15.wav
31,03-01-07-02-02-02-08.wav,03-01-07-02-01-02-08.wav
